Watershed #,Watershed name,Area_km2,Pa_mm,Forest_type,Hydrological_regime,DeltaF_perc,DeltaQf_perc,Precip_data_type,Assessment_technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes,Location Details,dataset,Dryness
209,"Marcell ,MN #4",0.34,760,BF,RD,-100,27.3,OB,PWE,"Hornbeck et at. ,1993",899,47.533333,-93.466667,1,1970,1971,NA,1,0,"Treatment:aspen-birch upland portion (26 ha) clearcut (all trees > 3 m height). Location from original source Verry, 1987 Verry, E.S., 1987. The effect of aspen harvest and growth on water yield in Minnesota. lASH AISH Publ., 167: 553-562",PL,original Zhang et al data,1.1828947368421052
210,March Rd.,2.48,1070,BF,RD,-100,147.6,OB,PWE,"Bari et al., 1996",1540,-34.4853,116.328787,9,1982,1991,NA,1,0,"Ruprecht et al 1989 says ""clearfelling"", so the change in forestry should be -100 not +100. Bari et al. also says ""cleared"".",GM,original Zhang et al data,1.439252336448598
211,Mbeya,0.202,1658,BF,RD,-50,33,OB,PWE,"Edwards and Blackie,1981",1433,-8.833333,33.466667,12,1957,1969,NA,1,0,NA,PL,original Zhang et al data,0.8642943305186972
212,"Mokobuloan, South Africa:C A",0.26,1150,BF,RD,100,-196.5,OB,PWE,"Van Lill et al., 1980",1641,-25.28333333,30.56666667,21,1956,1977,NA,1,0,NA,AL,original Zhang et al data,1.4269565217391305
213,Monda 1,0.63,1876,BF,RD,-75,43,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,12,1971,1996,NA,1,0,See notes with 214 and 215. Watson et al. 2001 clearly states that this is clearing followed by reseeding at different densities,GM,original Zhang et al data,0.6615138592750534
214,Monda 2,0.04,1813,BF,RD,-75,104,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,12,1977,1996,NA,1,0,"Watson et al. 2001 clearly states that this is clearing followed by reseeding at different densities, changed to -75",GM,original Zhang et al data,0.6845008273579702
215,Monda 3,0.73,1763,BF,RD,-75,97,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,12,1977,1996,NA,1,0,"Watson et al. 2001 clearly states that this is clearing followed by reseeding at different densities, changed to -75",GM,original Zhang et al data,0.7039137833238798
216,"MP1,Ecuador",0.63,939,CF,RD,90,-50,OB,PWE,"Buytaert et al.,2007",1223,-3.029621,-78.442111,1,2004,2005,NA,1,0,NA,GM,original Zhang et al data,1.3024494142705005
217,Muco,650,1700,BF,RD,9,0,OB,SH,"Iroumé and Palacios,2013",1061,-38.614684,-72.230714,43,1962,2005,NA,1,0,NA,GM,original Zhang et al data,0.6241176470588236
218,Mulchén,434,1597,BF,RD,50,-25.5,OB,SH,"Iroumé and Palacios,2013",1228,-37.763143,-72.233638,43,1962,2005,NA,1,0,NA,GM,original Zhang et al data,0.7689417658108955
219,Myrtle 2,0.305,1590,BF,RD,-74,38,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,3,1984,1987,NA,1,0,"In Watson et al 2001 it is Myrtle 2 not 4. Should be a removal (deforestation) as well, so -74%. But also includes long regrowth. Change in flow is probably an estimate for the first 3 years",GM,original Zhang et al data,0.7805031446540881
221,"N. Creek, Babinda, Queensland",0.183,4239,BF,RD,-67,10.2,OB,PWE,"Gilmore, 1977",1849,-17.317791,145.949769,2,1971,1973,NA,1,0,"Incorrect source. From Bruijnzeel,1990. It says effect statistically not significant. Original source Gilmore, 1977 http://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=PASCALGEODEBRGM7720452599",GM,original Zhang et al data,0.43618778013682474
222,N. Fork-1,0.41,810,CF,SD,-36,69.8,OB,PWE,"Troendle and King, 1987",1165,39.84568491,-105.9236381,6,1978,1984,NA,1,0,"reference should be: Troendle and King, 1987. coordinates guessed from google maps, struggling to find the estimated results in the actual paper",GM,original Zhang et al data,1.4382716049382716
224,Nanxiaohe Catchment,36.3,523.38,BF,RD,40,-49.6,OB,PWE,"Bi et al,2009",1179,35.683333,107.5,54,1954,2008,NA,1,0,Dongzhuanggou and Yangjiagou subcatchments,AL,original Zhang et al data,2.252665367419466
225,"Natural Drainages, Ariz., U.S.A, A",0.05,452,BF,RD,-100,0,OB,PWE,Ingebo and Hibbert 1974,2701,32.740981,-111.548249,17,1954,1971,NA,1,0,"Hibbert,1971 does not report this catchment Location as Natural Drainage Watersheds in Central Arizona. From Bosch and Hawlett 1982, treatment: 1954, 100% chemically controlled. Ingebo and Hibbert 1974 reports an incrase of 13% in water yield, meanwhile Bosch and Hawlett 1982 saysonly ""not significantly"".",GM,original Zhang et al data,5.975663716814159
226,"Natural Drainages, Ariz., U.S.A, C",0.05,452,BF,RD,-100,30.2,OB,PWE,Ingebo and Hibbert 1974,2701,32.740981,-111.548249,17,1954,1971,NA,1,0,"From Bosch and Hewlett 1982,  in 1954it was 100% chemically controlled. Data from Ingebo and Hibbert 1974.",NA,original Zhang et al data,5.975663716814159
228,Nilgiri,0.318,1535,BF,RD,59,-15.8,OB,PWE,"Samraj et al. ,1988",1543,11.373234,76.760133,13,1968,1981,NA,1,0,NA,AL,original Zhang et al data,1.0052117263843647
229,North York,8.29,1116,CF,SD,0.2,0,OB,"QPW, EA","Mahat et al.,2016",928,49.59159839,-114.5920183,5,2005,2010,NA,1,0,NA,GM,original Zhang et al data,0.8315412186379928
230,Oleolega catchment,0.63,1867,CF,RD,-85,50,OB,HM,"Waterloo et al.,2007",1575,-18.00416667,177.3522222,NA,1990,1992,NA,1,0,"The paper suggests a change in cover of 85% and also a negative value, not a positive. It also is not totally clear how the delta Q is calculated, presumably from Table 4 in the paper. Ths study period is also very short",AL,original Zhang et al data,0.8435993572576326
231,Olius in Cardener,256,839,BF,RD,22,-21,OB,HM,"Gallart et al.,2011",1219,42.33888889,1.685277778,36,1957,1993,NA,1,0,Author gives only one location for 192 and 231,AL,original Zhang et al data,1.4529201430274137
232,"Ouachita, OK WS  #10",0.0574,1317,CF,RD,-50,30.9,OB,PWE,"Miller, 1988",1491,34.431286,-94.552682,4,1979,1983,NA,1,0,"Rothacher, 1970 study is in Cascade Range of Oregon, Data from Miller 1988",GM,original Zhang et al data,1.132118451025057
233,"Ouachita, OK WS  #12",0.0591,1317,CF,RD,-100,45.5,OB,PWE,Miller 1988,1429,34.786948,-93.029589,4,1979,1983,NA,1,0,"It is not Harr 1976, it is Miller 1988. Location from Google Maps as Alum Creek Experimental Forest",USGS,original Zhang et al data,1.085041761579347
234,"Ouachita, OK WS  #14",0.0435,1317,CF,RD,-50,33.8,OB,PWE,Miller 1988,1429,34.786948,-93.029589,4,1979,1983,NA,1,0,"It is not Harr 1976, it is Miller 1988. Location from Google Maps as Alum Creek Experimental Forest",USGS,original Zhang et al data,1.085041761579347
235,"Ouachita, OK WS  #15",0.0511,1317,CF,RD,-100,31.7,OB,PWE,Miller 1988,1429,34.786948,-93.029589,4,1979,1983,NA,1,0,"It is not Harr 1976, it is Miller 1988. Location from Google Maps as Alum Creek Experimental Forest",USGS,original Zhang et al data,1.085041761579347
236,"Ouachita, OK WS  #17",0.0415,1317,CF,RD,-50,23.1,OB,PWE,"Lewis,1968",1894,34.50021456,-94.5027165,6,1956,1962,NA,1,0,NA,AL,original Zhang et al data,1.4381169324221716
237,"Ouachita, OK WS #11",0.0493,1317,CF,RD,0,0,OB,PWE,Miller 1988,1429,34.786948,-93.029589,4,1979,1983,NA,1,0,"It is not Harr 1976, it is Miller 1988. Location from Google Maps as Alum Creek Experimental Forest",USGS,original Zhang et al data,1.085041761579347
238,"Ouachita, OK WS #18",0.0408,1317,CF,RD,-100,18.5,OB,PWE,"Miller, 1989",1491,34.431286,-94.552682,4,1979,1983,NA,1,0,Data from Miller et al 1988,GM,original Zhang et al data,1.132118451025057
241,Picaninny Creek,0.528,1330,MF,RD,-100,36,OB,PWE,"Bren et al., 2010",1372,-37.680224,145.544785,28,1968,1996,NA,1,0,NA,GM,original Zhang et al data,1.0315789473684212
242,Pine Tree Branch,0.35,1230,BF,SD,-75,59.6,OB,PWE,"Bosch and Hewlett, 1982",1408,35.678013,-88.355614,20,1941,1961,NA,1,0,"TVA 1961 is not in the references in Zhang et al. 2017, clearly this is from the secondary source Bosch & Hewlett (1982). Original reference (Forest cover improvement influences upon hydrologic characteristics of White Hollow watershed 1935--58. ) is not accessible. Location estimated from map in: Reforestation and Erosion Control Influences Upon the Hydrology of the Pine Tree Branch Watershed, 1941 to 1960. TVA 1962: https://play.google.com/store/books/details?id=5_KM3kTtlGIC&rdid=book-5_KM3kTtlGIC&rdot=1",GM,original Zhang et al data,1.1447154471544716
243,"Placer County, CA, USA,WS C",0.05,635,BF,RD,-99,106.2,OB,PWE,"Lewis,1968",1920,38.983333,-121.233333,6,1956,1962,NA,1,0,NA,AL,original Zhang et al data,3.0236220472440944
244,Portugues ´,22.9,1875,BF,RD,50.9,7.7,MD,HM,"Beck et al.,2013",1767,18.078,-66.634,35,1965,2000,NA,1,0,"catch  K, USGS ID 115000",PL,original Zhang et al data,0.9424
245,Quepe,386,1700,BF,RD,1.6,0,OB,SH,"Iroumé and Palacios,2013",1037,-38.918082,-72.620907,43,1962,2005,NA,1,0,NA,GM,original Zhang et al data,0.61
246,Quillén,734,1700,BF,RD,11.1,0,OB,SH,"Iroumé and Palacios,2013",1070,-38.48589,-72.400445,43,1962,2005,NA,1,0,NA,GM,original Zhang et al data,0.6294117647058823
247,R´ıo Fajardo,40,2908,BF,RD,12,-15,SG,HM,"Wu et al.,2007",1833,18.29895,-65.69382778,18,1973,1990,NA,1,0,location data from https://waterdata.usgs.gov/nwis/inventory/?site_no=50071000&agency_cd=USGS,GM,original Zhang et al data,0.6303301237964236
248,Red Hill,1.95,773,CF,RD,100,-103.3,OB,PWE,"Webb and  Kathuria, 2012",1625,-35.011,148.343,20,1989,2009,NA,1,0,NA,PL,original Zhang et al data,2.1021992238033635
249,Ribera Salada,65,620,MF,RD,18.46153846,-24,OB,HM,"Buendia et al.,2016b",1393,42.025087,1.381851,12,2009,2013,NA,1,0,NA,GM,original Zhang et al data,2.246774193548387
250,Rimbaud,1.4,1164,BF,RD,-85,23.6,OB,PWE,"Lavabre et al.,1993",1454,43.066667,6.05,1,1990,1991,NA,1,0,NA,AL,original Zhang et al data,1.2491408934707904
251,S. Fork,1,813,BF,RD,-45,0,OB,PWE,"Bosch and Hawlett, 1982",1974,33.839837,-110.95813,16,1953,1966,NA,1,0,"Should be Bosch and Hwelett 1982? Assumed this is South Fork, Workman Creek Approximate location using GE as there is no reference in Bosh and Hewlett 1982",GM,original Zhang et al data,2.4280442804428044
252,S. TekamA,0.377,1880,BF,RD,-100,117,OB,PWE,"Bruijnzeel,1990",1466,3.865191,102.5316,1,1973,1973,NA,1,0,Location from Google Maps,NA,original Zhang et al data,0.7797872340425532
253,S. TekamB,0.592,1880,BF,RD,-60,85.3,OB,PWE,"Bruijnzeel,1990",1466,3.865191,102.5316,1,1973,1973,NA,1,0,Location from Google Maps,NA,original Zhang et al data,0.7797872340425532
254,Sambret,7,2130,BF,RD,-54,27.7,OB,PWE,"Bruijnzeel,1990",1641,-0.36517,35.286034,1,1958,1958,NA,1,0,"Found in Bruijnzeel,1990 under Kericho catchments. Same catchment as 187 different time study",NA,original Zhang et al data,0.7704225352112676
255,"San Dimas,  CA",3.54,650,BF,RD,-1.7,9.4,OB,PWE,"Harris,1973, 1977 , Harr , 1976",2072,34.12947,-117.820902,1,1958,1958,NA,1,0,"not found in Harr , 1973 . Found in Bosch and Hawlett as Rowe (1963). Treatment 1958, 1.7% cut (riparian vegetation). Assumed one year as in the paper",GM,original Zhang et al data,3.187692307692308
256,Santa Paula,104,680,MF,RD,-71,0,OB,PWE,"Bart and Hope,2010",1913,34.41333333,-119.0730556,5,1986,1990,NA,1,0,usgs coordinates,USGS,original Zhang et al data,2.8132352941176473
257,Sespe,130,707,MF,RD,-40,0,OB,PWE,"Bart and Hope,2010",1829,34.56944444,-119.2563889,5,1986,1990,NA,1,0,usgs coordinates,USGS,original Zhang et al data,2.586987270155587
258,Severn,8.7,2500,CF,RD,-32,2.5,OB,PWE,"Robinson and Dupeyrat, 2005",602,52.47208827,-3.716747794,17,1983,2000,NA,1,0,approximate location from  https://www.ceh.ac.uk/our-science/projects/plynlimon-experimental-catchments,GM,original Zhang et al data,0.2408
259,Shackham Brook,8.08,1030,BF,RD,58,-20.7,OB,PWE,"Schneider and Ayer, 1961",950,42.76722222,-76.01861111,23,1934,1957,NA,1,0,"Misspelled name.This is not Brown 2005, it is Schneider and Ayer 1961. Reviewed in Best 2003.",GM,original Zhang et al data,0.9223300970873787
260,"Sierra Ancha, Ariz., U.S.A.:North Fork, Workman Creek",1,813,CF,SD,-32,59.3,OB,PWE,"Hibbert, 1979",2087,33.78891256,-110.9638552,1,1958,1958,NA,1,0,"notf ound under this name in the Hibbert reference. However, this seems to come from Bosch and Hewlett (1982) and either is a single year response or a duplicate of 304. From Bosch and Hawlett 1982, treatment 1953, <1% cut (riparian vegetation), 1958, 32% cleared (moist site), grass seeded 1966--1969, 40% cleared (dry site) and residual burned (total 73% cleared). Single year response was considered",GM,original Zhang et al data,2.5670356703567037
261,South Forks of Caspar Creek,4.24,813,MF,RD,-67,15,OB,PWE,"Keppeler and Ziemer, 1990",1159,39.34434664,-123.7406564,21,1963,1983,NA,1,0,NA,GM,original Zhang et al data,1.4255842558425584
262,South York,3.59,1220,CF,SD,-53,15,OB,"QPW, EA","Mahat et al.,2016",924,49.58254913,-114.5775296,5,2005,2010,NA,1,0,NA,GM,original Zhang et al data,0.7573770491803279
263,Srk2 Sarukawa Experimental Watershed,9.2,3046,BF,RD,-43,19.5,OB,PWE,"Kabeya et al.,2016",1185,31.85,131.2166667,39,1967,2005,NA,1,0,NA,GM,original Zhang et al data,0.3890347997373605
266,Star Creek,10.59,754,CF,SD,0,0,OB,"QPW, EA","Mahat et al.,2016",939,49.59995887,-114.6121611,5,2005,2010,NA,1,0,NA,GM,original Zhang et al data,1.2453580901856764
267,Starvation Creek,31.47,1604,BF,RD,-84.1,32.6,OB,HM,"Zhou et al., 2015",1391,-37.76,145.85,17,1983,2007,NA,1,0,"Different Zhou, Australian paper: Zhou, Y., Zhang, Y., Vaze, J., Lane, P., Xu, S., 2015. Impact of bushfire and climate variability on streamflow from forested catchments in southeast Australia. Hydrol. Sci. J., 1–21. Not PWE, but HM. Corrected.",GM,original Zhang et al data,0.8672069825436409
268,Stringybark,1.4,906,BF,RD,-36,50,OB,PWE,"Webb and Jarrett,2013",1287,-37.33333333,149.5833333,8,1979,1987,NA,1,0,time period to the first change point in Webb and Jarrett (2013),PL,original Zhang et al data,1.4205298013245033
269,Swartboskloof,1.8,2270,BF,RD,-100,15.3,OB,PWE,"Scott ,1993",1646,-34.007669,18.942723,1,1987,1987,NA,1,0,"Swartboskloof is the name in the paper, increase in flow is 15.3%? Table 4 in paper from Scott, 1993. Based on this flow variation data changed from 7.5 to 15.3%",PL,original Zhang et al data,0.7251101321585903
270,Ta kaxagawa Shozawa,1.18,2153,MF,RD,-50,11.2,OB,PWE,"Bosh and Hawlett, 1962",873,36.85,139.0166667,6,1948,1954,NA,1,0,Not found in Brown 2005 and could not find that catchment name. Reference is Bosh and Hawlett 1962,GM,original Zhang et al data,0.40548072457036693
271,Tanama,47.1,2102,BF,RD,42.7,-4.7,MD,HM,"Beck et al.,2013",1724,18.301,-66.782,40,1960,2000,NA,1,0,"catch  A, USGS ID 028000",PL,original Zhang et al data,0.8201712654614652
272,Tanllwyth,0.89,2500,CF,RD,-49,3.5,OB,PWE,"Robinson and Dupeyrat, 2005",602,52.47208827,-3.716747794,17,1983,2000,NA,1,0,"The tree felling is actually incremental in time, so not really a single observation. In addition, there are no clear individual coordinates for the subcatchments in Plynlimon. Approximate location from  https://www.ceh.ac.uk/our-science/projects/plynlimon-experimental-catchments",GM,original Zhang et al data,0.2408
273,Thomas Cr. AZ,2.27,768,CF,SD,-34,14,OB,PWE,"Gottfried, 1991",1826,33.70825253,-109.2426114,8,1979,1987,NA,1,0,NA,GM,original Zhang et al data,2.3776041666666665
274,Thomson,1.964,950,BF,RD,70,-55.3,OB,SH,"Borg et at. , 1988",1443,36.177915,116.0039231,9,1978,1986,NA,1,0,NA,GM,original Zhang et al data,1.5189473684210526
275,"Three Bar, Artz, USA, B",0.19,582,BF,RD,-100,272.7,OB,PWE,"Ingebo,1974; Hibbert et al,1975",2254,33.82856136,-111.1483972,10,1955,1971,NA,0,0,Ingebo 1974 mentioned watersedh B from Natural Draiganes as control.,GM,original Zhang et al data,3.872852233676976
276,"Three Bar, Artz, USA, C",0.39,638,BF,RD,-100,227.6,OB,PWE,"Hibbert ,1971,1979; Hibbert and Ingebo,1971;",2254,33.82856136,-111.1483972,10,1955,1971,NA,0,0,NA,GM,original Zhang et al data,3.5329153605015673
277,"Three Bar, Artz, USA, F",0.28,681,BF,RD,-100,225,OB,PWE,"Hibbert,1967,1969,1971,1979; Hibbert et al., 1975",2254,33.82856136,-111.1483972,8,1969,1977,NA,0,0,Time study from Bosch and Hewlett 1982. Paper from them says 80% increase in runoff after 8 yrs treatment. In Hibbert 1971 says Watershed F was not treated until 1969 and was not included in that study,GM,original Zhang et al data,3.3098384728340675
278,Tierkloof,1.57,1809,BF,RD,36,-11.8,OB,PWE,"Bosch and  Hewlett, 1982",1711,-33.95,18.25,24,NA,NA,NA,1,0,"better reference is  van Wyk, 1987 https://journals.co.za/doi/pdf/10.10520/AJA03784738_2493. See also Slingsby et al. 2021 Jonkershoek: Africa's oldest catchment experiment - 80 years and counting https://doi.org/10.1002/hyp.14101",NA,original Zhang et al data,0.9458264234383638
279,Treated A,0.553,1080,CF,RD,-43.2,35.3,OB,PWE,"Webb, 2009",1358,-33.373992,148.997547,9,1999,2007,NA,1,0,NA,GM,original Zhang et al data,1.2574074074074073
280,Treated B,0.554,1080,CF,RD,-40.3,82.7,OB,PWE,"Webb, 2009",1358,-33.373992,148.997547,7,2001,2007,NA,1,0,NA,GM,original Zhang et al data,1.2574074074074073
281,Upper Penticton Creek - 241 creeks,5,750,CF,SD,-50,6,OB,PWE,"Winkler et al.,2015",963,49.65,119.4,11,1995,2007,NA,1,0,NA,GM,original Zhang et al data,1.284
282,Upper Penticton Creek - 242 creeks,5,750,CF,SD,-50,0,OB,PWE,"Winkler et al.,2015",963,49.65,119.4,5,1995,2000,NA,1,0,NA,PL,original Zhang et al data,1.284
283,Valenciano,41.5,2039,BF,RD,16.5,-18.3,MD,HM,"Beck et al.,2013",1866,18.217,-65.925,29,1971,2000,NA,1,0,"catch  F,USGS ID 056400",PL,original Zhang et al data,0.9151544874938695
284,Välipuro,0.54,564,CF,SD,-9,0,OB,PWE,"Ide et al.,2013",599,63.866667,28.65,4,1982,1985,NA,1,0,NA,AL,original Zhang et al data,1.0620567375886525
285,Vez River,252,1500,MF,RD,55.5,-7,OB,HM,"Carvalho-Santos et al.,2015",1168,41.857247,-8.424226,5,2003,2008,NA,1,0,NA,GM,original Zhang et al data,0.7786666666666666
286,VI H020,1.32,838,BF,RD,27,-22.1,OB,PWE,"Scott,1993",1606,-29.83333333,29.83333333,1,1986,1987,NA,1,0,NA,AL,original Zhang et al data,1.9164677804295942
287,"W2,Taxiarhis University Forest",19.46,756,BF,RD,-50,4.6,OB,PWE,"Ganatsios and Tsioras,2010",1272,40.4,23.5,2,2002,2003,NA,1,0,NA,AL,original Zhang et al data,1.6825396825396826
288,"W3b,Taxiarhis University Forest",8.25,756,BF,RD,-100,9.7,OB,PWE,"Ganatsios and Tsioras,2010",1272,40.4,23.5,2,2002,2003,NA,1,0,NA,AL,original Zhang et al data,1.6825396825396826
289,"W4a,Taxiarhis University Forest",7.7,756,BF,RD,-100,9.7,OB,PWE,"Ganatsios and Tsioras,2010",1272,40.4,23.5,2,2002,2003,NA,1,0,NA,AL,original Zhang et al data,1.6825396825396826
290,"W4b,Taxiarhis University Forest",8.64,756,BF,RD,-50,4.6,OB,PWE,"Ganatsios and Tsioras,2010",1272,40.4,23.5,2,2002,2003,NA,1,0,NA,AL,original Zhang et al data,1.6825396825396826
291,"Wagon  Wheel Gap,  CO-1",0.81,544,CF,SD,-100,15.9,OB,PWE,"VanHaveren,1988",1905,37.76666667,-100.8833333,6,1920,1926,NA,1,0,"Van Haveren (1988) does not give coordinates, but one of the original Bates and Hendry (1921)papers does: https://doi.org/10.1175/1520-0493(1921)49<637:SAWWGC>2.0.CO;2",PL,original Zhang et al data,3.5018382352941178
292,"Wagon  Wheel Gap,  CO-2",0.81,536,CF,SD,-100,29.9,OB,PWE,"Bates  and  Henry ,1928",1234,37.773441,-106.830938,7,1919,1926,NA,1,0,NA,GM,original Zhang et al data,2.3022388059701493
293,Weicheng River catchment,249,910,CF,RD,10,-0.7,OB,HM,"Zhang et al.,2015",1005,31.70833333,105.5,1,1987,1987,NA,1,0,NA,PL,original Zhang et al data,1.1043956043956045
294,White Hollow,6.94,1184,BF,RD,-34,0,OB,PWE,"Bosch and Hewlett, 1983",1239,36.331859,-83.920388,25,1935,1960,NA,1,0,"TVA 1961 is not in the references in Zhang et al. 2017, clearly this is from the secondary source Bosch & Hewlett (1982). Original reference (Forest cover improvement influences upon hydrologic characteristics of White Hollow watershed 1935--58. ) is not accessible. Location estimate is very rough, based on indication of ""union county Tennessee"" in https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1752-1688.1968.tb02933.x",GM,original Zhang et al data,1.0464527027027026
295,"White Spar, Ariz., U.S.A, B",1,549,BF,RD,-15,38.2,OB,PWE,"Hibbert, 1971",2256,34.430856,-112.262636,6,1967,1973,NA,1,0,"Misspelled. This is Whitespar watershed. Area called Three Bar experimental watersheds near Roosevelt Lake on Tonto National Forest as per https://www.fs.fed.us/psw/publications/documents/psw_gtr058/psw_gtr058_5a_hibbert.pdf, Catchment B in Hibbert 1971. Found in Bosch, J.M., Hewlett, J.D., 1982. Aproximate location from Google Maps. Period of time from Bosch and Hawlett and Hibbert et al 1982  Water Yield Changes Resulting From Treatment of Arizona Chaparral Orginally cited as Hibbert (1971,1979)",GM,original Zhang et al data,4.109289617486339
296,"White Spar, AZ WS b",1,550,BF,RD,-20,0,OB,PWE,"Stednick,1996",2051,34.46520182,-112.5581748,7,1966,1973,NA,1,0,"Location guessed based on description ""8 mi SW of Prescott AZ"": https://www.fs.fed.us/rm/boise/AWAE/labs/awae_flagstaff/highlands/watersheds/whitespar/wsdescription.html. Treatment period is also a guess based on descriptions",GM,original Zhang et al data,3.729090909090909
297,Wicksend,0.682,1100,BF,RD,-38,10,OB,PWE,"Lane and Mackay, 2001",1404,-36.751291,149.627168,11,1986,1997,NA,1,0,NA,AL,original Zhang et al data,1.2763636363636364
298,Wights,0.94,1200,BF,RD,-100,271.6,OB,PWE,"Williamson et al., 1987",1751,-33.421,115.989,24,1901,1983,NA,1,0,in later paper Ruprecht and Schofield (1991a). Zhao et al (2010) finds much lower deltaQ in %: 70% using EA. Data added based on  Zhao et al. 2010. Time period found in Willamson 1987 (EN),AL,original Zhang et al data,1.4591666666666667
299,W-II,0.775,1050,BF,RD,-11,3,OB,PWE,"Serengil et al., 2007",1335,41.017863,27.960916,7,1986,1993,NA,1,0,NA,AL,original Zhang et al data,1.2714285714285714
300,Willbob,0.856,1100,BF,RD,-30,31,OB,PWE,"Lane and Mackay, 2001",1404,-36.751291,149.627168,11,1986,1997,NA,1,0,NA,AL,original Zhang et al data,1.2763636363636364
301,Willow  Cr. AZ,0.6,749,BF,RD,-62,18.8,OB,PWE,Gottfried 1983,1746,34.456213,-111.001407,6,1972,1978,NA,1,0,"Incorrect souce, it is not Miller et al 1988, it is Gottfried 1983, Location as   USGS 09492400",GM,original Zhang et al data,2.3311081441922563
305,Workman  Cr.  AZ-4,1,813,CF,SD,-83,124.4,OB,PWE,"Rich and Gottfried, 1976",2087,33.78891256,-110.9638552,13,1967,1973,NA,1,0,"these values are extracted from Hibbert and Gottfried (1987) but are summarised in the ""Study area"" section of the paper, suggested to be for 1967 - 1979 (13 years). This is for the ""South Fork"" part. This is repeated in the Stednick paper and is 62 in Bosch and Hewlett (1982). original publication is actually Rich and Gottfried (1976)",GM,original Zhang et al data,2.5670356703567037
307,WS2 L.R.,0.43,1060,BF,RD,-43,22,OB,PWE,Hornbeck et al 1993,1121,40.666667,-77.933333,1,1976,1977,NA,1,0,"Leading Ridge Watershed Research Unit, PA, treatment: Clearcut on 45ha, Location from: https://www.fs.fed.us/ne/global/ltedb/catalogs/cat80.html",PL,original Zhang et al data,1.0575471698113208
308,WS2 L.R.,0.43,1060,BF,RD,-27,13.9,OB,PWE,Hornbeck et al 1993,1121,40.666667,-77.933333,3,1971,1974,NA,1,0,"Leading Ridge Watershed Research Unit, PA, treatment: Clearcut mid-slope 11 ha 1971-1972, Herbicide lower and mid-slope areas 1974, Location from: https://www.fs.fed.us/ne/global/ltedb/catalogs/cat80.html",PL,original Zhang et al data,1.0575471698113208
309,WS2 L.R.,0.43,1060,BF,RD,-40,18.9,OB,PWE,Hornbeck et al 1993,1121,40.666667,-77.933333,1,1975,1976,NA,1,0,"Leading Ridge Watershed Research Unit, PA, treatment: Clearcut 17ha on upper slope, Location from: https://www.fs.fed.us/ne/global/ltedb/catalogs/cat80.html",PL,original Zhang et al data,1.0575471698113208
310,WS4 H.B.,0.36,1340,BF,RD,-33,40.7,OB,PWE,Hornbeck et al 1993,930,43.95484722,-71.72283611,4,1971,1974,NA,1,0,"Hornbeck et al 1993. Hubbard Brook Experimental Forest, NH, Catchment 4",GM,original Zhang et al data,0.6940298507462687
311,Yarra River,149.43,1497,BF,RD,-45.6,9.9,OB,HM,"Zhou et al., 2015",1643,-37.78,145.62,NA,1983,2009,NA,1,0,"Same problem, this is the Australian Zhou et al. (2015) Zhou, Y., Zhang, Y., Vaze, J., Lane, P., Xu, S., 2015. Impact of bushfire and climate variability on streamflow from forested catchments in southeast Australia. Hydrol. Sci. J., 1–21. Not PWE, but HM, corrected",PL,original Zhang et al data,1.0975283901135604
312,Yerraminnup S.,2.7,850,BF,RD,-60,83.3,OB,PWE,"Zhou et al., 2015",1254,-37.76,145.85,4,1982,1985,NA,1,0,"Correct name is Yerraminnup S..There is no Yerrami S in Zhou et al. This is originally from Ruprecht and Schofield (1989), but they are citing a WA water resources report, Dates confirmed in the original. Also, this is clearing, so should be -60% delta_F_perc",AL,original Zhang et al data,1.4752941176470589
313,Adjungbilly Creek,391,1011,CF,RD,30.08,-60,OB,EA,Zhang et al. 2011,1939,-32.02,148.25,14,1995,2008,NA,1,0,NA,PL,new data,1.9179030662710188
314,Battaling Ck,16.64,629,CF,RD,19,-52,OB,EA,Zhang et al. 2011,1835,-33.32,116.57,9,2000,2008,NA,1,0,NA,PL,new data,2.917329093799682
315,Bombala River,559,783,CF,RD,26.8,-29,OB,EA,Zhang et al. 2011,1180,-37,149.38,14,1990,2000,NA,1,0,NA,PL,new data,1.5070242656449553
316,Burnt Out Ck,0.6,806,CF,RD,67,-100,OB,EA,Zhang et al. 2011,1647,-35.13,138.7,5,2003,2007,NA,1,0,NA,PL,new data,2.043424317617866
317,Crawford River,606,728,MF,RD,24.18,-66,OB,EA,Zhang et al. 2011,1340,-37.98,141.46,5,2004,2009,NA,1,0,NA,PL,new data,1.8406593406593406
318,Darlot Ck,760,688,MF,RD,13.3,-28,OB,EA,Zhang et al. 2011,1315,-38.15,141.77,5,2004,2009,NA,1,0,NA,PL,new data,1.9113372093023255
319,Delegate River,1135.7,859,CF,RD,14,-52,OB,EA,Zhang et al. 2011,1303,-36.98,149.05,11,1990,2000,NA,1,0,NA,PL,new data,1.5168800931315483
